,appid,name,review_score,total_positive,total_negative,total_reviews,type,required_age,is_free,short_description,publishers,price_overview,platforms,categories,genres,release_date,price,genres_clean,Gore,Software Training,Animation & Modeling,Racing,Web Publishing,Action,Free to Play,Sports,Massively Multiplayer,Strategy,Casual,Design & Illustration,Early Access,Simulation,Sexual Content,Indie,Adventure,Nudity,Audio Production,Violent,RPG,Video Production,Utilities
0,1648390,ScooterFlow,8,446,21,467,game,0,False,"The world’s most realistic freestyle scooter game is finally here. Ride the skatepark, hit the streets, boost the mega ramp, fully customize your scooter &amp; throw down all of the real life trick combinations you could dream of within this physics based scooter game.",['UncannyKiwi'],"{'currency': 'EUR', 'initial': 1379, 'final': 965, 'discount_percent': 30, 'initial_formatted': '13,79€', 'final_formatted': '9,65€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}]","[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}, {'id': '70', 'description': 'Early Access'}]","{'coming_soon': False, 'date': '29 Nov, 2021'}",1379.0,['Casual' 'Indie' 'Simulation' 'Sports' 'Early Access'],0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,1648610,Malum,6,146,53,199,game,0,False,Malum is the premier C-list horror game. Run from a motely collection of bizarre demons then summon in some guns to turn the tables on them. Best enjoyed with friends.,['MalumGames'],"{'currency': 'EUR', 'initial': 399, 'final': 199, 'discount_percent': 50, 'initial_formatted': '3,99€', 'final_formatted': '1,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]","{'coming_soon': False, 'date': '2 Sep, 2021'}",399.0,['Action' 'Adventure' 'Indie'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,1647962,Hell Let Loose – Lethal Tide,8,70,6,76,dlc,0,False,Unlock access to the Lethal Tide DLC.,['Team17'],"{'currency': 'EUR', 'initial': 499, 'final': 249, 'discount_percent': 50, 'initial_formatted': '4,99€', 'final_formatted': '2,49€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 21, 'description': 'Downloadable Content'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]","{'coming_soon': False, 'date': '27 Jul, 2021'}",499.0,['Action' 'Indie' 'Massively Multiplayer' 'Simulation' 'Strategy'],0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
3,1647550,NEO: The World Ends with You,8,224,11,235,game,0,False,&quot;Only the possibility of you can change our fate&quot; Rindo comes to the grim realization that his life is on the line when he is forced to compete in the so-called &quot;Reapers' Game.&quot;,['Square Enix'],"{'currency': 'EUR', 'initial': 5999, 'final': 2999, 'discount_percent': 50, 'initial_formatted': '59,99€', 'final_formatted': '29,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}]","[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]","{'coming_soon': False, 'date': '19 Oct, 2022'}",5999.0,['Action' 'RPG'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1647730,Zool Redimensioned,8,68,2,70,game,0,False,"The Ninja of the Nth Dimension is back! Explore vibrant retro landscapes, discover hidden secrets and take down menacing bosses in a modern reimagining of the classic action platforming adventure Zool.",['Secret Mode'],"{'currency': 'EUR', 'initial': 799, 'final': 271, 'discount_percent': 66, 'initial_formatted': '7,99€', 'final_formatted': '2,71€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 18, 'description': 'Partial Controller Support'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]","{'coming_soon': False, 'date': '18 Aug, 2021'}",799.0,['Action' 'Adventure'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,1647190,World End Diner,8,121,2,123,game,0,False,"Run a diner on the last island in the world after the destruction of humankind! For the cute animals and robots that survived, cook delicious food, run a farm, explore the forest, and create the best diner!",['Andymente'],"{'currency': 'EUR', 'initial': 1249, 'final': 1049, 'discount_percent': 16, 'initial_formatted': '12,49€', 'final_formatted': '10,49€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 25, 'description': 'Steam Leaderboards'}]","[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '70', 'description': 'Early Access'}]","{'coming_soon': False, 'date': '18 Jun, 2021'}",1249.0,['Adventure' 'Indie' 'Simulation' 'Early Access'],0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
6,1645820,SurrounDead,8,808,99,907,game,0,False,SurrounDead is an open world survival game. Taking place in a world ravaged by an apocalyptic catastrophe. The dead reign free and will stop at nothing to kill you.,['PlaySurrounDead'],"{'currency': 'EUR', 'initial': 1329, 'final': 996, 'discount_percent': 25, 'initial_formatted': '13,29€', 'final_formatted': '9,96€'}","{'windows': True, 'mac': False, 'linux': True}","[{'id': 2, 'description': 'Single-player'}, {'id': 23, 'description': 'Steam Cloud'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '70', 'description': 'Early Access'}]","{'coming_soon': False, 'date': '24 Jun, 2022'}",1329.0,['Action' 'Adventure' 'Indie' 'RPG' 'Early Access'],0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
7,1644960,NBA 2K22,5,7879,3555,11434,game,0,False,"NBA 2K22 puts the entire basketball universe in your hands. Anyone, anywhere can hoop in NBA 2K22.",['2K'],"{'currency': 'EUR', 'initial': 5999, 'final': 5999, 'discount_percent': 0, 'initial_formatted': '', 'final_formatted': '59,99€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 49, 'description': 'PvP'}, {'id': 36, 'description': 'Online PvP'}, {'id': 37, 'description': 'Shared/Split Screen PvP'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 39, 'description': 'Shared/Split Screen Co-op'}, {'id': 24, 'description': 'Shared/Split Screen'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 28, 'description': 'Full controller support'}, {'id': 35, 'description': 'In-App Purchases'}, {'id': 23, 'description': 'Steam Cloud'}, {'id': 42, 'description': 'Remote Play on Tablet'}, {'id': 44, 'description': 'Remote Play Together'}]","[{'id': '28', 'description': 'Simulation'}, {'id': '18', 'description': 'Sports'}]","{'coming_soon': False, 'date': '9 Sep, 2021'}",5999.0,['Simulation' 'Sports'],0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1644490,Occult,6,273,86,359,game,0,False,"Occult is a dynamic cooperative game with elements of horror and quest. You are waiting for a variety of opponents, puzzles and endings!",['Renderise'],"{'currency': 'EUR', 'initial': 399, 'final': 319, 'discount_percent': 20, 'initial_formatted': '3,99€', 'final_formatted': '3,19€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 1, 'description': 'Multi-player'}, {'id': 9, 'description': 'Co-op'}, {'id': 38, 'description': 'Online Co-op'}, {'id': 22, 'description': 'Steam Achievements'}, {'id': 29, 'description': 'Steam Trading Cards'}, {'id': 23, 'description': 'Steam Cloud'}]","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}]","{'coming_soon': False, 'date': '19 May, 2022'}",399.0,['Action' 'Adventure' 'Indie' 'Massively Multiplayer'],0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,1644840,Kittens and Yarn,8,66,3,69,game,0,False,Move the pieces of place and untangle the wool yarn for these cute kittens.,['Pinel Games'],"{'currency': 'EUR', 'initial': 159, 'final': 103, 'discount_percent': 35, 'initial_formatted': '1,59€', 'final_formatted': '1,03€'}","{'windows': True, 'mac': False, 'linux': False}","[{'id': 2, 'description': 'Single-player'}, {'id': 22, 'description': 'Steam Achievements'}]","[{'id': '4', 'description': 'Casual'}]","{'coming_soon': False, 'date': '17 Jun, 2021'}",159.0,['Casual'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
